Productivity,Communication,Leadership,Learning,Collaboration,Productivity_Level,Communication_Level,Leadership_Level,Learning_Level,Collaboration_Level,Overall_Behavior_Score,Overall_Behavior_Level
60.0,46.25,75.0,67.5,75.0,Moderate,Moderate,High,Moderate,High,64.75,Moderate
80.0,35.0,12.5,77.5,70.0,High,Low,Low,High,High,55.0,Moderate
40.0,62.5,72.5,63.75,84.0,Moderate,Moderate,High,Moderate,High,64.55,Moderate
30.0,45.0,32.5,62.5,85.0,Low,Moderate,Low,Moderate,High,51.0,Moderate
70.0,45.0,65.0,60.0,47.5,High,Moderate,Moderate,Moderate,Moderate,57.5,Moderate
50.0,62.5,45.0,70.0,50.5,Moderate,Moderate,Moderate,High,Moderate,55.6,Moderate
50.0,60.0,37.5,72.5,80.5,Moderate,Moderate,Low,High,High,60.1,Moderate
50.0,13.75,72.5,95.0,52.5,Moderate,Low,High,High,Moderate,56.75,Moderate
50.0,35.0,60.0,31.25,41.0,Moderate,Low,Moderate,Low,Moderate,43.45,Moderate
60.0,11.25,22.5,87.5,40.0,Moderate,Low,Low,High,Moderate,44.25,Moderate
70.0,72.5,25.0,65.0,54.5,High,High,Low,Moderate,Moderate,57.4,Moderate
100.0,46.25,72.5,62.5,64.0,High,Moderate,High,Moderate,Moderate,69.05,Moderate
50.0,57.5,57.5,15.0,81.5,Moderate,Moderate,Moderate,Low,High,52.3,Moderate
70.0,52.5,82.5,42.5,37.0,High,Moderate,High,Moderate,Low,56.9,Moderate
60.0,52.5,47.5,85.0,80.0,Moderate,Moderate,Moderate,High,High,65.0,Moderate
60.0,33.75,80.0,38.75,76.0,Moderate,Low,High,Low,High,57.7,Moderate
80.0,65.0,70.0,78.75,62.5,High,Moderate,High,High,Moderate,71.25,High
90.0,60.0,55.0,82.5,26.0,High,Moderate,Moderate,High,Low,62.7,Moderate
80.0,58.75,35.0,77.5,97.5,High,Moderate,Low,High,High,69.75,Moderate
50.0,41.25,72.5,32.5,66.0,Moderate,Moderate,High,Low,Moderate,52.45,Moderate
60.0,31.25,70.0,55.0,56.5,Moderate,Low,High,Moderate,Moderate,54.55,Moderate
60.0,38.75,100.0,63.75,37.0,Moderate,Low,High,Moderate,Low,59.9,Moderate
50.0,61.25,52.5,71.25,50.0,Moderate,Moderate,Moderate,High,Moderate,57.0,Moderate
40.0,55.0,70.0,67.5,38.5,Moderate,Moderate,High,Moderate,Low,54.2,Moderate
60.0,37.5,82.5,83.75,77.5,Moderate,Low,High,High,High,68.25,Moderate
90.0,51.25,57.5,42.5,79.5,High,Moderate,Moderate,Moderate,High,64.15,Moderate
70.0,72.5,65.0,46.25,54.5,High,High,Moderate,Moderate,Moderate,61.65,Moderate
70.0,35.0,70.0,56.25,44.0,High,Low,High,Moderate,Moderate,55.05,Moderate
60.0,17.5,62.5,62.5,45.0,Moderate,Low,Moderate,Moderate,Moderate,49.5,Moderate
40.0,60.0,22.5,43.75,44.0,Moderate,Moderate,Low,Moderate,Moderate,42.05,Moderate
70.0,73.75,45.0,75.0,64.5,High,High,Moderate,High,Moderate,65.65,Moderate
80.0,62.5,35.0,43.75,66.5,High,Moderate,Low,Moderate,Moderate,57.55,Moderate
80.0,51.25,55.0,55.0,66.0,High,Moderate,Moderate,Moderate,Moderate,61.45,Moderate
70.0,42.5,70.0,82.5,34.5,High,Moderate,High,High,Low,59.9,Moderate
90.0,58.75,37.5,36.25,87.0,High,Moderate,Low,Low,High,61.9,Moderate
60.0,41.25,67.5,15.0,64.0,Moderate,Moderate,Moderate,Low,Moderate,49.55,Moderate
20.0,70.0,65.0,47.5,54.0,Low,High,Moderate,Moderate,Moderate,51.3,Moderate
40.0,75.0,77.5,65.0,65.0,Moderate,High,High,Moderate,Moderate,64.5,Moderate
40.0,71.25,90.0,66.25,62.0,Moderate,High,High,Moderate,Moderate,65.9,Moderate
20.0,50.0,30.0,81.25,86.5,Low,Moderate,Low,High,High,53.55,Moderate
60.0,27.5,32.5,80.0,74.5,Moderate,Low,Low,High,High,54.9,Moderate
70.0,46.25,65.0,100.0,59.0,High,Moderate,Moderate,High,Moderate,68.05,Moderate
50.0,76.25,45.0,47.5,63.5,Moderate,High,Moderate,Moderate,Moderate,56.45,Moderate
70.0,47.5,60.0,43.75,54.0,High,Moderate,Moderate,Moderate,Moderate,55.05,Moderate
40.0,12.5,85.0,31.25,68.5,Moderate,Low,High,Low,Moderate,47.45,Moderate
50.0,51.25,67.5,57.5,76.0,Moderate,Moderate,Moderate,Moderate,High,60.45,Moderate
80.0,20.0,50.0,37.5,62.0,High,Low,Moderate,Low,Moderate,49.9,Moderate
40.0,46.25,65.0,41.25,77.5,Moderate,Moderate,Moderate,Moderate,High,54.0,Moderate
70.0,21.25,62.5,28.75,68.5,High,Low,Moderate,Low,Moderate,50.2,Moderate
70.0,33.75,52.5,10.0,69.5,High,Low,Moderate,Low,Moderate,47.15,Moderate
40.0,20.0,32.5,42.5,53.0,Moderate,Low,Low,Moderate,Moderate,37.6,Low
60.0,30.0,37.5,78.75,76.0,Moderate,Low,Low,High,High,56.45,Moderate
20.0,38.75,17.5,42.5,65.0,Low,Low,Low,Moderate,Moderate,36.75,Low
80.0,51.25,57.5,78.75,53.0,High,Moderate,Moderate,High,Moderate,64.1,Moderate
20.0,67.5,47.5,16.25,48.5,Low,Moderate,Moderate,Low,Moderate,39.95,Low
30.0,66.25,40.0,83.75,86.5,Low,Moderate,Moderate,High,High,61.3,Moderate
80.0,42.5,85.0,48.75,45.0,High,Moderate,High,Moderate,Moderate,60.25,Moderate
80.0,43.75,47.5,68.75,42.0,High,Moderate,Moderate,Moderate,Moderate,56.4,Moderate
50.0,67.5,67.5,57.5,39.0,Moderate,Moderate,Moderate,Moderate,Low,56.3,Moderate
90.0,47.5,50.0,51.25,52.5,High,Moderate,Moderate,Moderate,Moderate,58.25,Moderate
60.0,23.75,57.5,55.0,88.5,Moderate,Low,Moderate,Moderate,High,56.95,Moderate
100.0,40.0,47.5,80.0,42.0,High,Moderate,Moderate,High,Moderate,61.9,Moderate
80.0,13.75,77.5,65.0,68.0,High,Low,High,Moderate,Moderate,60.85,Moderate
100.0,28.75,60.0,87.5,49.5,High,Low,Moderate,High,Moderate,65.15,Moderate
70.0,35.0,67.5,41.25,65.5,High,Low,Moderate,Moderate,Moderate,55.85,Moderate
50.0,23.75,17.5,71.25,41.0,Moderate,Low,Low,High,Moderate,40.7,Moderate
20.0,25.0,45.0,55.0,29.5,Low,Low,Moderate,Moderate,Low,34.9,Low
50.0,53.75,80.0,41.25,61.5,Moderate,Moderate,High,Moderate,Moderate,57.3,Moderate
40.0,78.75,92.5,70.0,56.0,Moderate,High,High,High,Moderate,67.45,Moderate
20.0,47.5,45.0,73.75,84.0,Low,Moderate,Moderate,High,High,54.05,Moderate
30.0,33.75,120.0,70.0,100.0,Low,Low,High,High,High,70.75,High
30.0,50.0,67.5,60.0,61.5,Low,Moderate,Moderate,Moderate,Moderate,53.8,Moderate
80.0,41.25,50.0,73.75,39.0,High,Moderate,Moderate,High,Low,56.8,Moderate
60.0,35.0,60.0,77.5,85.0,Moderate,Low,Moderate,High,High,63.5,Moderate
40.0,51.25,37.5,71.25,54.5,Moderate,Moderate,Low,High,Moderate,50.9,Moderate
40.0,75.0,90.0,52.5,53.0,Moderate,High,High,Moderate,Moderate,62.1,Moderate
90.0,52.5,55.0,15.0,90.0,High,Moderate,Moderate,Low,High,60.5,Moderate
40.0,80.0,72.5,57.5,57.0,Moderate,High,High,Moderate,Moderate,61.4,Moderate
50.0,53.75,57.5,68.75,35.0,Moderate,Moderate,Moderate,Moderate,Low,53.0,Moderate
40.0,42.5,52.5,56.25,49.5,Moderate,Moderate,Moderate,Moderate,Moderate,48.15,Moderate
80.0,45.0,40.0,61.25,35.0,High,Moderate,Moderate,Moderate,Low,52.25,Moderate
20.0,56.25,32.5,57.5,29.0,Low,Moderate,Low,Moderate,Low,39.05,Low
80.0,36.25,97.5,96.25,69.5,High,Low,High,High,Moderate,75.9,High
50.0,22.5,95.0,42.5,55.5,Moderate,Low,High,Moderate,Moderate,53.1,Moderate
80.0,50.0,75.0,65.0,74.5,High,Moderate,High,Moderate,High,68.9,Moderate
40.0,43.75,75.0,40.0,71.0,Moderate,Moderate,High,Moderate,High,53.95,Moderate
70.0,28.75,65.0,32.5,64.5,High,Low,Moderate,Low,Moderate,52.15,Moderate
60.0,42.5,37.5,56.25,74.5,Moderate,Moderate,Low,Moderate,High,54.15,Moderate
30.0,67.5,52.5,87.5,37.5,Low,Moderate,Moderate,High,Low,55.0,Moderate
40.0,73.75,80.0,38.75,54.0,Moderate,High,High,Low,Moderate,57.3,Moderate
20.0,42.5,80.0,65.0,76.0,Low,Moderate,High,Moderate,High,56.7,Moderate
40.0,58.75,67.5,87.5,83.5,Moderate,Moderate,Moderate,High,High,67.45,Moderate
70.0,52.5,50.0,41.25,49.0,High,Moderate,Moderate,Moderate,Moderate,52.55,Moderate
70.0,71.25,72.5,65.0,39.0,High,High,High,Moderate,Low,63.55,Moderate
30.0,62.5,17.5,51.25,71.5,Low,Moderate,Low,Moderate,High,46.55,Moderate
40.0,25.0,45.0,35.0,84.0,Moderate,Low,Moderate,Low,High,45.8,Moderate
60.0,37.5,55.0,63.75,72.0,Moderate,Low,Moderate,Moderate,High,57.65,Moderate
60.0,16.25,52.5,55.0,83.0,Moderate,Low,Moderate,Moderate,High,53.35,Moderate
70.0,66.25,67.5,77.5,72.5,High,Moderate,Moderate,High,High,70.75,High
80.0,61.25,55.0,42.5,39.0,High,Moderate,Moderate,Moderate,Low,55.55,Moderate
100.0,16.25,17.5,71.25,48.0,High,Low,Low,High,Moderate,50.6,Moderate
60.0,20.0,47.5,58.75,45.5,Moderate,Low,Moderate,Moderate,Moderate,46.35,Moderate
60.0,60.0,50.0,80.0,53.5,Moderate,Moderate,Moderate,High,Moderate,60.7,Moderate
50.0,63.75,20.0,72.5,50.5,Moderate,Moderate,Low,High,Moderate,51.35,Moderate
30.0,47.5,20.0,51.25,30.0,Low,Moderate,Low,Moderate,Low,35.75,Low
30.0,71.25,65.0,35.0,62.0,Low,High,Moderate,Low,Moderate,52.65,Moderate
50.0,72.5,55.0,48.75,65.5,Moderate,High,Moderate,Moderate,Moderate,58.35,Moderate
40.0,56.25,100.0,50.0,83.0,Moderate,Moderate,High,Moderate,High,65.85,Moderate
60.0,76.25,37.5,43.75,40.0,Moderate,High,Low,Moderate,Moderate,51.5,Moderate
50.0,53.75,55.0,76.25,44.0,Moderate,Moderate,Moderate,High,Moderate,55.8,Moderate
60.0,51.25,67.5,86.25,34.0,Moderate,Moderate,Moderate,High,Low,59.8,Moderate
50.0,23.75,47.5,58.75,78.5,Moderate,Low,Moderate,Moderate,High,51.7,Moderate
50.0,70.0,57.5,61.25,40.5,Moderate,High,Moderate,Moderate,Moderate,55.85,Moderate
50.0,68.75,52.5,62.5,33.5,Moderate,Moderate,Moderate,Moderate,Low,53.45,Moderate
50.0,52.5,80.0,60.0,79.0,Moderate,Moderate,High,Moderate,High,64.3,Moderate
100.0,50.0,42.5,68.75,63.5,High,Moderate,Moderate,Moderate,Moderate,64.95,Moderate
50.0,53.75,67.5,57.5,39.5,Moderate,Moderate,Moderate,Moderate,Low,53.65,Moderate
90.0,40.0,100.0,50.0,44.0,High,Moderate,High,Moderate,Moderate,64.8,Moderate
100.0,47.5,82.5,73.75,69.0,High,Moderate,High,High,Moderate,74.55,High
80.0,70.0,40.0,46.25,86.0,High,High,Moderate,Moderate,High,64.45,Moderate
60.0,20.0,40.0,47.5,54.0,Moderate,Low,Moderate,Moderate,Moderate,44.3,Moderate
60.0,42.5,60.0,48.75,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,53.25,Moderate
60.0,40.0,55.0,72.5,95.0,Moderate,Moderate,Moderate,High,High,64.5,Moderate
100.0,20.0,47.5,66.25,70.0,High,Low,Moderate,Moderate,High,60.75,Moderate
50.0,22.5,55.0,36.25,74.0,Moderate,Low,Moderate,Low,High,47.55,Moderate
100.0,41.25,52.5,48.75,82.0,High,Moderate,Moderate,Moderate,High,64.9,Moderate
60.0,77.5,50.0,41.25,69.0,Moderate,High,Moderate,Moderate,Moderate,59.55,Moderate
40.0,68.75,57.5,62.5,70.0,Moderate,Moderate,Moderate,Moderate,High,59.75,Moderate
70.0,60.0,32.5,73.75,56.0,High,Moderate,Low,High,Moderate,58.45,Moderate
50.0,68.75,40.0,90.0,61.5,Moderate,Moderate,Moderate,High,Moderate,62.05,Moderate
50.0,17.5,52.5,28.75,49.0,Moderate,Low,Moderate,Low,Moderate,39.55,Low
70.0,32.5,30.0,55.0,59.0,High,Low,Low,Moderate,Moderate,49.3,Moderate
70.0,46.25,72.5,63.75,67.0,High,Moderate,High,Moderate,Moderate,63.9,Moderate
50.0,41.25,65.0,88.75,92.0,Moderate,Moderate,Moderate,High,High,67.4,Moderate
70.0,45.0,70.0,27.5,31.5,High,Moderate,High,Low,Low,48.8,Moderate
40.0,71.25,90.0,43.75,87.5,Moderate,High,High,Moderate,High,66.5,Moderate
100.0,15.0,65.0,28.75,56.5,High,Low,Moderate,Low,Moderate,53.05,Moderate
80.0,26.25,35.0,45.0,87.0,High,Low,Low,Moderate,High,54.65,Moderate
70.0,62.5,52.5,41.25,37.5,High,Moderate,Moderate,Moderate,Low,52.75,Moderate
60.0,35.0,72.5,38.75,46.5,Moderate,Low,High,Low,Moderate,50.55,Moderate
70.0,58.75,60.0,41.25,69.5,High,Moderate,Moderate,Moderate,Moderate,59.9,Moderate
50.0,46.25,20.0,2.5,70.5,Moderate,Moderate,Low,Low,High,37.85,Low
70.0,51.25,65.0,97.5,100.0,High,Moderate,Moderate,High,High,76.75,High
60.0,66.25,60.0,33.75,66.0,Moderate,Moderate,Moderate,Low,Moderate,57.2,Moderate
90.0,30.0,15.0,60.0,65.0,High,Low,Low,Moderate,Moderate,52.0,Moderate
100.0,48.75,45.0,60.0,61.5,High,Moderate,Moderate,Moderate,Moderate,63.05,Moderate
30.0,20.0,65.0,58.75,36.0,Low,Low,Moderate,Moderate,Low,41.95,Moderate
70.0,67.5,27.5,63.75,68.0,High,Moderate,Low,Moderate,Moderate,59.35,Moderate
20.0,37.5,15.0,77.5,83.5,Low,Low,Low,High,High,46.7,Moderate
60.0,42.5,50.0,67.5,79.5,Moderate,Moderate,Moderate,Moderate,High,59.9,Moderate
40.0,48.75,75.0,75.0,71.0,Moderate,Moderate,High,High,High,61.95,Moderate
80.0,43.75,20.0,72.5,88.0,High,Moderate,Low,High,High,60.85,Moderate
40.0,31.25,80.0,47.5,70.0,Moderate,Low,High,Moderate,High,53.75,Moderate
70.0,58.75,50.0,60.0,46.5,High,Moderate,Moderate,Moderate,Moderate,57.05,Moderate
40.0,23.75,77.5,38.75,79.5,Moderate,Low,High,Low,High,51.9,Moderate
20.0,57.5,77.5,50.0,78.5,Low,Moderate,High,Moderate,High,56.7,Moderate
60.0,47.5,50.0,60.0,74.0,Moderate,Moderate,Moderate,Moderate,High,58.3,Moderate
20.0,45.0,80.0,57.5,54.0,Low,Moderate,High,Moderate,Moderate,51.3,Moderate
80.0,50.0,45.0,80.0,67.0,High,Moderate,Moderate,High,Moderate,64.4,Moderate
20.0,47.5,40.0,77.5,58.0,Low,Moderate,Moderate,High,Moderate,48.6,Moderate
90.0,41.25,37.5,91.25,71.0,High,Moderate,Low,High,High,66.2,Moderate
80.0,65.0,42.5,63.75,56.5,High,Moderate,Moderate,Moderate,Moderate,61.55,Moderate
70.0,21.25,12.5,58.75,74.0,High,Low,Low,Moderate,High,47.3,Moderate
50.0,38.75,37.5,45.0,61.5,Moderate,Low,Low,Moderate,Moderate,46.55,Moderate
50.0,51.25,45.0,78.75,70.0,Moderate,Moderate,Moderate,High,High,59.0,Moderate
60.0,75.0,47.5,41.25,69.5,Moderate,High,Moderate,Moderate,Moderate,58.65,Moderate
80.0,35.0,72.5,53.75,86.5,High,Low,High,Moderate,High,65.55,Moderate
50.0,62.5,60.0,100.0,94.5,Moderate,Moderate,Moderate,High,High,73.4,High
50.0,31.25,60.0,91.25,72.0,Moderate,Low,Moderate,High,High,60.9,Moderate
50.0,38.75,55.0,40.0,30.0,Moderate,Low,Moderate,Moderate,Low,42.75,Moderate
70.0,76.25,50.0,78.75,48.0,High,High,Moderate,High,Moderate,64.6,Moderate
70.0,35.0,82.5,11.25,75.0,High,Low,High,Low,High,54.75,Moderate
80.0,37.5,75.0,31.25,39.5,High,Low,High,Low,Low,52.65,Moderate
60.0,36.25,67.5,41.25,79.0,Moderate,Low,Moderate,Moderate,High,56.8,Moderate
80.0,21.25,40.0,58.75,45.0,High,Low,Moderate,Moderate,Moderate,49.0,Moderate
50.0,58.75,40.0,53.75,83.0,Moderate,Moderate,Moderate,Moderate,High,57.1,Moderate
40.0,47.5,90.0,60.0,44.5,Moderate,Moderate,High,Moderate,Moderate,56.4,Moderate
80.0,55.0,85.0,43.75,76.0,High,Moderate,High,Moderate,High,67.95,Moderate
50.0,55.0,40.0,65.0,42.5,Moderate,Moderate,Moderate,Moderate,Moderate,50.5,Moderate
40.0,62.5,40.0,65.0,41.5,Moderate,Moderate,Moderate,Moderate,Moderate,49.8,Moderate
80.0,35.0,22.5,80.0,64.5,High,Low,Low,High,Moderate,56.4,Moderate
70.0,48.75,15.0,60.0,84.0,High,Moderate,Low,Moderate,High,55.55,Moderate
40.0,68.75,92.5,81.25,46.0,Moderate,Moderate,High,High,Moderate,65.7,Moderate
60.0,36.25,42.5,76.25,83.5,Moderate,Low,Moderate,High,High,59.7,Moderate
50.0,35.0,52.5,55.0,58.0,Moderate,Low,Moderate,Moderate,Moderate,50.1,Moderate
40.0,71.25,37.5,85.0,29.0,Moderate,High,Low,High,Low,52.55,Moderate
70.0,41.25,40.0,51.25,86.5,High,Moderate,Moderate,Moderate,High,57.8,Moderate
60.0,58.75,55.0,68.75,50.5,Moderate,Moderate,Moderate,Moderate,Moderate,58.6,Moderate
50.0,16.25,87.5,81.25,73.5,Moderate,Low,High,High,High,61.7,Moderate
30.0,53.75,57.5,43.75,39.0,Low,Moderate,Moderate,Moderate,Low,44.8,Moderate
20.0,51.25,55.0,63.75,67.5,Low,Moderate,Moderate,Moderate,Moderate,51.5,Moderate
60.0,43.75,52.5,32.5,82.5,Moderate,Moderate,Moderate,Low,High,54.25,Moderate
60.0,35.0,57.5,53.75,69.0,Moderate,Low,Moderate,Moderate,Moderate,55.05,Moderate
70.0,61.25,67.5,32.5,39.0,High,Moderate,Moderate,Low,Low,54.05,Moderate
50.0,30.0,60.0,61.25,78.5,Moderate,Low,Moderate,Moderate,High,55.95,Moderate
60.0,51.25,60.0,90.0,34.0,Moderate,Moderate,Moderate,High,Low,59.05,Moderate
20.0,67.5,35.0,20.0,87.0,Low,Moderate,Low,Low,High,45.9,Moderate
50.0,63.75,62.5,36.25,97.0,Moderate,Moderate,Moderate,Low,High,61.9,Moderate
40.0,51.25,72.5,90.0,55.0,Moderate,Moderate,High,High,Moderate,61.75,Moderate
60.0,35.0,75.0,67.5,64.5,Moderate,Low,High,Moderate,Moderate,60.4,Moderate
70.0,48.75,20.0,82.5,79.5,High,Moderate,Low,High,High,60.15,Moderate
100.0,28.75,77.5,87.5,78.5,High,Low,High,High,High,74.45,High
100.0,47.5,32.5,66.25,76.5,High,Moderate,Low,Moderate,High,64.55,Moderate
60.0,15.0,77.5,91.25,42.5,Moderate,Low,High,High,Moderate,57.25,Moderate
60.0,51.25,50.0,88.75,31.0,Moderate,Moderate,Moderate,High,Low,56.2,Moderate
40.0,23.75,40.0,1.25,33.5,Moderate,Low,Moderate,Low,Low,27.7,Low
50.0,56.25,62.5,67.5,52.5,Moderate,Moderate,Moderate,Moderate,Moderate,57.75,Moderate
40.0,78.75,67.5,32.5,62.5,Moderate,High,Moderate,Low,Moderate,56.25,Moderate
100.0,46.25,42.5,75.0,90.0,High,Moderate,Moderate,High,High,70.75,High
40.0,52.5,62.5,78.75,52.0,Moderate,Moderate,Moderate,High,Moderate,57.15,Moderate
40.0,45.0,45.0,47.5,63.5,Moderate,Moderate,Moderate,Moderate,Moderate,48.2,Moderate
70.0,28.75,50.0,72.5,67.0,High,Low,Moderate,High,Moderate,57.65,Moderate
40.0,53.75,67.5,60.0,27.0,Moderate,Moderate,Moderate,Moderate,Low,49.65,Moderate
60.0,71.25,97.5,6.25,88.5,Moderate,High,High,Low,High,64.7,Moderate
70.0,58.75,35.0,55.0,65.0,High,Moderate,Low,Moderate,Moderate,56.75,Moderate
70.0,30.0,37.5,50.0,62.5,High,Low,Low,Moderate,Moderate,50.0,Moderate
50.0,53.75,40.0,62.5,52.0,Moderate,Moderate,Moderate,Moderate,Moderate,51.65,Moderate
40.0,33.75,72.5,81.25,63.0,Moderate,Low,High,High,Moderate,58.1,Moderate
90.0,57.5,67.5,47.5,68.0,High,Moderate,Moderate,Moderate,Moderate,66.1,Moderate
40.0,38.75,55.0,48.75,69.5,Moderate,Low,Moderate,Moderate,Moderate,50.4,Moderate
60.0,35.0,25.0,45.0,66.0,Moderate,Low,Low,Moderate,Moderate,46.2,Moderate
80.0,45.0,75.0,52.5,84.5,High,Moderate,High,Moderate,High,67.4,Moderate
90.0,63.75,87.5,77.5,76.0,High,Moderate,High,High,High,78.95,High
70.0,60.0,47.5,38.75,72.0,High,Moderate,Moderate,Low,High,57.65,Moderate
70.0,50.0,87.5,43.75,37.0,High,Moderate,High,Moderate,Low,57.65,Moderate
70.0,46.25,90.0,75.0,75.5,High,Moderate,High,High,High,71.35,High
50.0,23.75,65.0,97.5,54.0,Moderate,Low,Moderate,High,Moderate,58.05,Moderate
20.0,45.0,50.0,40.0,42.0,Low,Moderate,Moderate,Moderate,Moderate,39.4,Low
90.0,48.75,52.5,71.25,59.0,High,Moderate,Moderate,High,Moderate,64.3,Moderate
40.0,32.5,97.5,77.5,63.0,Moderate,Low,High,High,Moderate,62.1,Moderate
60.0,60.0,70.0,82.5,37.5,Moderate,Moderate,High,High,Low,62.0,Moderate
70.0,38.75,50.0,58.75,67.0,High,Low,Moderate,Moderate,Moderate,56.9,Moderate
20.0,35.0,40.0,46.25,44.0,Low,Low,Moderate,Moderate,Moderate,37.05,Low
80.0,61.25,65.0,95.0,62.0,High,Moderate,Moderate,High,Moderate,72.65,High
40.0,38.75,27.5,56.25,40.0,Moderate,Low,Low,Moderate,Moderate,40.5,Moderate
90.0,41.25,42.5,50.0,96.5,High,Moderate,Moderate,Moderate,High,64.05,Moderate
90.0,58.75,87.5,51.25,58.5,High,Moderate,High,Moderate,Moderate,69.2,Moderate
20.0,20.0,40.0,66.25,63.5,Low,Low,Moderate,Moderate,Moderate,41.95,Moderate
50.0,38.75,75.0,32.5,50.0,Moderate,Low,High,Low,Moderate,49.25,Moderate
60.0,40.0,27.5,75.0,81.0,Moderate,Moderate,Low,High,High,56.7,Moderate
60.0,51.25,40.0,95.0,46.0,Moderate,Moderate,Moderate,High,Moderate,58.45,Moderate
60.0,68.75,60.0,80.0,63.5,Moderate,Moderate,Moderate,High,Moderate,66.45,Moderate
90.0,43.75,40.0,45.0,62.5,High,Moderate,Moderate,Moderate,Moderate,56.25,Moderate
70.0,28.75,67.5,58.75,76.5,High,Low,Moderate,Moderate,High,60.3,Moderate
50.0,12.5,70.0,81.25,65.0,Moderate,Low,High,High,Moderate,55.75,Moderate
60.0,60.0,42.5,93.75,56.0,Moderate,Moderate,Moderate,High,Moderate,62.45,Moderate
30.0,60.0,65.0,16.25,62.0,Low,Moderate,Moderate,Low,Moderate,46.65,Moderate
30.0,56.25,20.0,27.5,45.5,Low,Moderate,Low,Low,Moderate,35.85,Low
40.0,61.25,82.5,58.75,64.5,Moderate,Moderate,High,Moderate,Moderate,61.4,Moderate
80.0,76.25,27.5,40.0,65.5,High,High,Low,Moderate,Moderate,57.85,Moderate
60.0,63.75,95.0,100.0,74.0,Moderate,Moderate,High,High,High,78.55,High
70.0,57.5,40.0,40.0,39.0,High,Moderate,Moderate,Moderate,Low,49.3,Moderate
40.0,37.5,62.5,38.75,53.0,Moderate,Low,Moderate,Low,Moderate,46.35,Moderate
60.0,30.0,67.5,31.25,61.0,Moderate,Low,Moderate,Low,Moderate,49.95,Moderate
50.0,28.75,95.0,37.5,90.0,Moderate,Low,High,Low,High,60.25,Moderate
50.0,65.0,32.5,61.25,74.0,Moderate,Moderate,Low,Moderate,High,56.55,Moderate
80.0,67.5,47.5,80.0,73.5,High,Moderate,Moderate,High,High,69.7,Moderate
50.0,62.5,20.0,73.75,42.5,Moderate,Moderate,Low,High,Moderate,49.75,Moderate
80.0,25.0,57.5,46.25,74.0,High,Low,Moderate,Moderate,High,56.55,Moderate
100.0,35.0,62.5,36.25,81.0,High,Low,Moderate,Low,High,62.95,Moderate
70.0,70.0,60.0,81.25,55.0,High,High,Moderate,High,Moderate,67.25,Moderate
50.0,41.25,30.0,71.25,81.5,Moderate,Moderate,Low,High,High,54.8,Moderate
50.0,46.25,50.0,45.0,91.0,Moderate,Moderate,Moderate,Moderate,High,56.45,Moderate
100.0,31.25,77.5,65.0,61.5,High,Low,High,Moderate,Moderate,67.05,Moderate
80.0,51.25,32.5,70.0,67.5,High,Moderate,Low,High,Moderate,60.25,Moderate
50.0,28.75,82.5,62.5,48.0,Moderate,Low,High,Moderate,Moderate,54.35,Moderate
70.0,66.25,27.5,25.0,75.0,High,Moderate,Low,Low,High,52.75,Moderate
20.0,62.5,35.0,48.75,78.5,Low,Moderate,Low,Moderate,High,48.95,Moderate
70.0,31.25,77.5,71.25,62.5,High,Low,High,High,Moderate,62.5,Moderate
30.0,71.25,55.0,77.5,49.5,Low,High,Moderate,High,Moderate,56.65,Moderate
60.0,60.0,50.0,67.5,76.5,Moderate,Moderate,Moderate,Moderate,High,62.8,Moderate
90.0,26.25,40.0,75.0,84.5,High,Low,Moderate,High,High,63.15,Moderate
60.0,32.5,57.5,48.75,77.0,Moderate,Low,Moderate,Moderate,High,55.15,Moderate
40.0,31.25,45.0,65.0,72.5,Moderate,Low,Moderate,Moderate,High,50.75,Moderate
60.0,57.5,75.0,66.25,64.0,Moderate,Moderate,High,Moderate,Moderate,64.55,Moderate
80.0,60.0,30.0,81.25,49.0,High,Moderate,Low,High,Moderate,60.05,Moderate
20.0,61.25,45.0,47.5,61.5,Low,Moderate,Moderate,Moderate,Moderate,47.05,Moderate
40.0,13.75,60.0,55.0,40.0,Moderate,Low,Moderate,Moderate,Moderate,41.75,Moderate
80.0,78.75,55.0,82.5,54.0,High,High,Moderate,High,Moderate,70.05,High
60.0,30.0,85.0,27.5,94.0,Moderate,Low,High,Low,High,59.3,Moderate
40.0,41.25,45.0,31.25,59.0,Moderate,Moderate,Moderate,Low,Moderate,43.3,Moderate
60.0,45.0,32.5,57.5,74.5,Moderate,Moderate,Low,Moderate,High,53.9,Moderate
60.0,31.25,75.0,2.5,52.5,Moderate,Low,High,Low,Moderate,44.25,Moderate
50.0,58.75,32.5,31.25,55.5,Moderate,Moderate,Low,Low,Moderate,45.6,Moderate
90.0,37.5,80.0,55.0,86.5,High,Low,High,Moderate,High,69.8,Moderate
90.0,31.25,100.0,47.5,50.0,High,Low,High,Moderate,Moderate,63.75,Moderate
40.0,55.0,95.0,43.75,76.5,Moderate,Moderate,High,Moderate,High,62.05,Moderate
40.0,12.5,50.0,77.5,70.0,Moderate,Low,Moderate,High,High,50.0,Moderate
80.0,51.25,77.5,62.5,79.0,High,Moderate,High,Moderate,High,70.05,High
30.0,68.75,42.5,55.0,57.0,Low,Moderate,Moderate,Moderate,Moderate,50.65,Moderate
30.0,40.0,52.5,43.75,51.0,Low,Moderate,Moderate,Moderate,Moderate,43.45,Moderate
90.0,21.25,55.0,83.75,29.0,High,Low,Moderate,High,Low,55.8,Moderate
