Productivity,Communication,Leadership,Learning,Collaboration
60.0,70.0,47.5,78.75,64.5
50.0,52.5,47.5,46.25,50.5
100.0,46.25,70.0,58.75,69.5
60.0,11.25,67.5,51.25,59.5
80.0,52.5,95.0,35.0,66.5
90.0,13.75,27.5,17.5,78.5
60.0,58.75,100.0,85.0,59.5
40.0,23.75,85.0,52.5,59.0
30.0,67.5,57.5,56.25,91.5
60.0,43.75,57.5,80.0,68.0
60.0,61.25,37.5,58.75,80.0
100.0,40.0,32.5,48.75,76.5
60.0,17.5,50.0,42.5,94.0
40.0,45.0,60.0,73.75,45.0
60.0,43.75,32.5,50.0,63.5
60.0,46.25,12.5,61.25,45.0
40.0,38.75,50.0,56.25,46.0
80.0,45.0,47.5,71.25,72.5
60.0,48.75,60.0,52.5,55.5
50.0,66.25,55.0,76.25,42.5
40.0,61.25,82.5,17.5,95.5
50.0,56.25,30.0,72.5,30.5
90.0,37.5,77.5,41.25,61.0
40.0,51.25,90.0,20.0,44.0
40.0,32.5,60.0,43.75,71.5
70.0,62.5,67.5,50.0,84.0
30.0,47.5,87.5,67.5,43.5
50.0,60.0,85.0,92.5,71.0
30.0,51.25,75.0,68.75,78.5
30.0,32.5,80.0,25.0,59.0
60.0,37.5,57.5,38.75,71.5
40.0,73.75,60.0,18.75,43.0
50.0,37.5,57.5,47.5,75.0
60.0,46.25,55.0,80.0,76.0
90.0,26.25,82.5,76.25,52.5
50.0,18.75,67.5,68.75,66.0
80.0,57.5,77.5,78.75,80.5
30.0,27.5,45.0,83.75,71.5
50.0,51.25,40.0,92.5,27.5
50.0,65.0,80.0,73.75,64.5
50.0,51.25,90.0,35.0,32.5
80.0,35.0,60.0,60.0,47.0
90.0,21.25,60.0,27.5,41.0
20.0,32.5,60.0,90.0,71.0
60.0,67.5,80.0,68.75,74.5
100.0,20.0,60.0,62.5,36.5
30.0,63.75,65.0,76.25,51.0
20.0,15.0,35.0,82.5,60.0
40.0,45.0,55.0,97.5,69.0
40.0,67.5,35.0,63.75,77.5
60.0,27.5,17.5,90.0,77.0
80.0,53.75,27.5,57.5,42.5
30.0,47.5,65.0,12.5,25.5
90.0,52.5,50.0,75.0,29.0
50.0,66.25,60.0,80.0,92.0
30.0,12.5,42.5,35.0,79.5
90.0,23.75,70.0,60.0,73.5
70.0,71.25,30.0,38.75,53.0
70.0,47.5,62.5,46.25,39.5
60.0,16.25,37.5,56.25,43.0
80.0,31.25,32.5,62.5,66.5
80.0,37.5,57.5,32.5,49.5
80.0,38.75,37.5,51.25,83.5
50.0,45.0,60.0,75.0,74.5
50.0,71.25,92.5,43.75,52.0
50.0,43.75,25.0,47.5,68.5
60.0,35.0,20.0,55.0,73.0
40.0,32.5,27.5,56.25,90.0
80.0,63.75,57.5,50.0,47.0
50.0,47.5,62.5,31.25,46.5
30.0,63.75,12.5,81.25,48.5
80.0,47.5,40.0,40.0,78.5
70.0,57.5,90.0,45.0,54.0
80.0,41.25,65.0,71.25,61.0
60.0,76.25,55.0,72.5,76.5
80.0,57.5,47.5,56.25,76.0
70.0,61.25,60.0,68.75,71.5
80.0,33.75,47.5,7.5,27.5
60.0,51.25,17.5,55.0,54.5
50.0,60.0,50.0,73.75,45.5
50.0,35.0,70.0,71.25,51.0
50.0,27.5,57.5,35.0,69.5
30.0,45.0,50.0,62.5,78.5
20.0,31.25,40.0,87.5,44.5
80.0,51.25,17.5,78.75,61.0
80.0,43.75,17.5,90.0,81.5
70.0,63.75,37.5,45.0,62.5
30.0,50.0,62.5,13.75,64.5
100.0,65.0,57.5,68.75,42.5
60.0,60.0,35.0,58.75,81.5
70.0,56.25,20.0,12.5,80.0
70.0,11.25,80.0,75.0,39.0
30.0,68.75,55.0,73.75,81.5
70.0,35.0,65.0,71.25,40.5
40.0,23.75,52.5,67.5,48.5
50.0,40.0,80.0,37.5,93.5
80.0,60.0,20.0,96.25,74.0
90.0,40.0,60.0,81.25,74.0
50.0,68.75,40.0,85.0,46.0
80.0,41.25,42.5,56.25,66.0
70.0,41.25,52.5,42.5,36.0
50.0,50.0,32.5,43.75,63.0
100.0,30.0,40.0,88.75,39.0
90.0,41.25,47.5,48.75,66.5
50.0,26.25,52.5,70.0,59.5
80.0,60.0,27.5,48.75,63.0
40.0,35.0,45.0,91.25,55.5
50.0,40.0,22.5,65.0,31.0
20.0,62.5,52.5,70.0,51.5
50.0,52.5,65.0,62.5,52.0
60.0,40.0,65.0,62.5,38.5
80.0,51.25,15.0,47.5,76.5
50.0,77.5,25.0,53.75,98.5
60.0,81.25,45.0,47.5,65.5
30.0,36.25,42.5,71.25,59.0
50.0,38.75,42.5,70.0,56.0
90.0,60.0,60.0,42.5,79.0
60.0,78.75,30.0,87.5,55.0
20.0,61.25,40.0,26.25,45.0
30.0,45.0,47.5,80.0,78.5
50.0,36.25,57.5,36.25,77.5
60.0,40.0,57.5,43.75,65.5
60.0,47.5,62.5,78.75,63.0
80.0,62.5,62.5,62.5,51.5
50.0,48.75,10.0,15.0,76.0
50.0,32.5,52.5,65.0,88.0
40.0,50.0,75.0,48.75,55.5
90.0,47.5,47.5,30.0,78.5
20.0,52.5,32.5,90.0,65.5
40.0,32.5,60.0,58.75,50.0
50.0,37.5,65.0,86.25,50.0
50.0,36.25,57.5,53.75,63.0
80.0,45.0,42.5,46.25,42.5
60.0,75.0,42.5,96.25,40.0
40.0,33.75,10.0,41.25,54.5
50.0,40.0,82.5,57.5,41.5
80.0,55.0,12.5,71.25,45.5
60.0,61.25,17.5,60.0,38.5
80.0,45.0,52.5,60.0,71.0
90.0,38.75,35.0,73.75,42.5
30.0,68.75,80.0,63.75,70.0
30.0,33.75,40.0,71.25,81.5
70.0,42.5,70.0,76.25,48.5
70.0,46.25,52.5,72.5,60.0
80.0,26.25,32.5,57.5,72.0
70.0,42.5,35.0,22.5,95.0
90.0,32.5,60.0,83.75,54.5
70.0,52.5,82.5,91.25,36.0
30.0,60.0,40.0,83.75,26.0
60.0,53.75,10.0,67.5,52.5
50.0,58.75,45.0,65.0,46.0
90.0,61.25,45.0,72.5,48.5
40.0,22.5,25.0,52.5,59.0
50.0,36.25,35.0,18.75,49.0
20.0,61.25,47.5,75.0,24.0
60.0,25.0,57.5,57.5,56.0
80.0,36.25,82.5,46.25,47.5
60.0,53.75,70.0,57.5,44.5
70.0,11.25,72.5,93.75,45.0
100.0,70.0,45.0,60.0,73.0
60.0,31.25,77.5,35.0,67.0
70.0,33.75,80.0,37.5,64.5
70.0,47.5,67.5,65.0,60.0
90.0,57.5,80.0,68.75,76.5
80.0,47.5,47.5,86.25,66.5
50.0,32.5,55.0,88.75,60.0
40.0,27.5,30.0,90.0,76.5
50.0,38.75,62.5,57.5,30.0
80.0,43.75,65.0,77.5,77.5
80.0,38.75,37.5,52.5,55.0
80.0,42.5,10.0,47.5,56.5
40.0,67.5,27.5,57.5,56.0
90.0,51.25,22.5,92.5,67.0
40.0,57.5,47.5,75.0,44.5
90.0,52.5,65.0,46.25,80.0
70.0,48.75,15.0,66.25,47.0
60.0,47.5,62.5,43.75,76.5
30.0,36.25,27.5,67.5,57.0
60.0,33.75,67.5,86.25,80.0
30.0,81.25,45.0,86.25,84.0
90.0,55.0,70.0,83.75,59.5
90.0,66.25,40.0,83.75,76.0
90.0,31.25,32.5,81.25,90.5
60.0,51.25,67.5,75.0,83.0
90.0,40.0,45.0,77.5,58.0
60.0,80.0,37.5,37.5,57.5
80.0,16.25,57.5,56.25,31.5
40.0,51.25,45.0,36.25,52.5
50.0,21.25,52.5,5.0,50.5
70.0,32.5,92.5,85.0,45.0
50.0,66.25,52.5,56.25,73.5
80.0,51.25,57.5,61.25,85.5
60.0,61.25,90.0,22.5,82.5
40.0,42.5,85.0,92.5,53.5
40.0,41.25,20.0,48.75,82.5
90.0,66.25,32.5,41.25,60.0
50.0,22.5,57.5,53.75,41.5
80.0,45.0,40.0,42.5,71.0
40.0,36.25,32.5,61.25,42.0
50.0,51.25,65.0,53.75,86.5
40.0,51.25,25.0,61.25,56.5
40.0,26.25,47.5,36.25,90.0
50.0,41.25,67.5,60.0,90.5
40.0,36.25,47.5,71.25,54.0
90.0,42.5,22.5,45.0,63.5
90.0,62.5,57.5,31.25,26.5
80.0,52.5,52.5,78.75,73.0
90.0,38.75,95.0,47.5,58.5
40.0,17.5,35.0,17.5,97.0
40.0,18.75,52.5,65.0,73.0
80.0,17.5,32.5,13.75,74.5
40.0,38.75,35.0,90.0,45.0
70.0,71.25,65.0,35.0,59.0
50.0,42.5,40.0,68.75,63.0
50.0,42.5,12.5,42.5,93.5
90.0,31.25,95.0,21.25,73.0
70.0,76.25,20.0,68.75,62.5
50.0,28.75,35.0,42.5,46.5
50.0,66.25,45.0,53.75,43.0
60.0,80.0,107.5,71.25,41.5
90.0,70.0,62.5,88.75,76.0
30.0,48.75,40.0,51.25,79.5
40.0,60.0,57.5,78.75,88.5
30.0,46.25,27.5,47.5,37.0
20.0,21.25,32.5,40.0,64.0
100.0,32.5,20.0,52.5,92.5
50.0,70.0,75.0,70.0,47.5
60.0,80.0,92.5,56.25,48.5
70.0,40.0,20.0,76.25,83.5
20.0,60.0,90.0,57.5,61.0
80.0,66.25,57.5,80.0,75.5
80.0,27.5,100.0,87.5,41.5
70.0,76.25,70.0,16.25,39.0
90.0,48.75,60.0,33.75,99.0
70.0,50.0,30.0,61.25,90.0
60.0,37.5,65.0,71.25,61.0
70.0,66.25,17.5,48.75,33.0
70.0,41.25,67.5,62.5,55.5
40.0,45.0,20.0,40.0,71.0
60.0,55.0,45.0,92.5,50.5
80.0,28.75,57.5,83.75,53.0
50.0,57.5,100.0,82.5,44.0
80.0,32.5,47.5,53.75,79.5
60.0,76.25,52.5,82.5,36.0
70.0,40.0,100.0,71.25,81.5
60.0,32.5,82.5,92.5,67.0
100.0,35.0,60.0,0.0,84.5
60.0,45.0,45.0,73.75,94.5
30.0,15.0,67.5,81.25,76.0
40.0,42.5,62.5,58.75,50.0
90.0,43.75,47.5,72.5,63.5
80.0,17.5,52.5,35.0,68.5
40.0,41.25,60.0,65.0,61.5
60.0,61.25,77.5,63.75,53.5
30.0,80.0,80.0,52.5,85.0
50.0,65.0,27.5,85.0,69.0
60.0,46.25,22.5,43.75,88.0
40.0,33.75,55.0,87.5,49.0
20.0,76.25,50.0,77.5,84.0
80.0,28.75,42.5,48.75,92.0
40.0,53.75,15.0,47.5,65.5
50.0,50.0,90.0,71.25,38.5
70.0,66.25,32.5,41.25,29.5
20.0,32.5,60.0,70.0,28.0
90.0,31.25,77.5,48.75,60.5
50.0,51.25,77.5,63.75,58.5
60.0,27.5,42.5,75.0,52.0
40.0,62.5,20.0,58.75,70.5
20.0,17.5,72.5,30.0,67.5
90.0,47.5,50.0,60.0,59.0
50.0,70.0,50.0,92.5,61.5
60.0,20.0,40.0,56.25,31.0
90.0,47.5,45.0,81.25,73.5
40.0,36.25,57.5,82.5,52.5
70.0,31.25,77.5,48.75,41.0
60.0,55.0,20.0,76.25,88.0
30.0,80.0,22.5,43.75,69.0
90.0,48.75,35.0,58.75,53.5
40.0,56.25,35.0,73.75,52.0
70.0,55.0,55.0,83.75,34.5
30.0,48.75,47.5,58.75,53.5
50.0,40.0,32.5,80.0,57.5
50.0,36.25,45.0,58.75,83.5
50.0,45.0,92.5,72.5,84.5
100.0,51.25,120.0,21.25,25.0
40.0,26.25,40.0,95.0,56.5
40.0,26.25,77.5,43.75,50.0
40.0,57.5,10.0,88.75,63.0
80.0,52.5,42.5,47.5,43.0
70.0,52.5,57.5,81.25,79.0
50.0,72.5,37.5,62.5,66.5
80.0,46.25,45.0,63.75,91.5
70.0,25.0,105.0,61.25,65.5
40.0,40.0,37.5,46.25,70.5
30.0,30.0,70.0,40.0,87.5
50.0,60.0,20.0,55.0,72.5
50.0,51.25,72.5,78.75,57.5
70.0,22.5,47.5,97.5,61.5
70.0,41.25,50.0,35.0,71.0
50.0,76.25,42.5,57.5,78.5
60.0,30.0,47.5,73.75,73.5
50.0,22.5,65.0,90.0,99.0
50.0,75.0,37.5,83.75,55.0
0.0,0.0,0.0,,0.0
