employee_id,institution,date_of_birth,gender,age_group,job_role,years_of_experience,department,language_proficiency,ethnicity,educational_institute,punctuality,problem_solving,leadership,collaboration,communication,deadline_adherence_rate,adherence_level,avg_response_time,response_time_level,no_of_meetings_attended,no_of_subordinates,decision_contribution,learning_hours_per_month,type_of_learning,team_engagement_frequency,completed_storypoint_ratio,completed_story_points,assigned_story_points,project_id,project_name,duration_weeks,relative_effort,team_size,project_complexity,rework_count,no_pay_leave,blockers,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metric_7_name,metric_7_value
188,Company_F,1994-04-30,Female,26-30,Software Engineer,10,Development,Sinhala,Muslim,University_E,4,4,2,3,1,87.14,4,4.15,2,31,6,2,27,Knowledge sharing,1,0.51,40,78,7,Payroll Automation,47,472,10,9.1,3,9,2,tasks_assigned,30,tasks_completed,22,tasks_on_time,22,bug_count,2,bugs_fixed_count,0,code_quality (1-10),9,rework_count,3
189,Company_L,1989-08-06,Male,31-35,Software Engineer,15,Development,Sinhala,Sinhala,University_U,4,1,5,5,3,91.1,4,0.75,4,6,5,4,13,Self-learning,2,0.93,112,120,21,Medi Care App,18,477,10,6.8,3,9,2,total_test_cases_executed,93,total_pass_test_cases,82,total_bugs_detected,25,defect_reopened_count,10,total_documents_created,8,document_quality (1-5),3,test_execution_time (hrs),7
190,Company_A,2003-02-14,Female,20-25,DevOps Engineer,1,DevOps,Sinhala,Sinhala,University_B,5,5,2,4,5,96.51,5,2.62,3,12,4,1,22,On-the-job learning,3,0.88,65,74,9,Customer Portal,14,171,3,1.37,2,9,1,tasks_completed,15,project_delay (days),8,changing_relative_effort,144,sprint_velocity,21,team_velocity,33,stakeholder_satisfaction(1-5),3,milestone_completion_rate,1
191,Company_B,2002-06-07,Male,20-25,QA Engineer,2,QA,English,Muslim,University_I,2,1,1,4,3,57.98,2,5.12,4,29,5,2,39,On-the-job learning,2,0.46,47,102,6,Supply Chain Tracker,50,295,2,2.25,4,1,2,total_deployments,1,successful_deployments,1,deployment_time_efficiency,0.73,incident_count,3,system_downtime (hrs),21.4,automated_pipeline_stages,2,total_pipeline_stages,7
192,Company_F,1985-11-25,Male,36-40,Project Manager,19,Project Management,Sinhala,Sinhala,University_M,4,5,4,4,5,87.27,4,5.32,2,9,8,1,30,Knowledge sharing,7,0.6,24,40,7,Payroll Automation,26,229,6,9.8,4,1,1,tasks_assigned,28,tasks_completed,15,tasks_on_time,13,bug_count,14,bugs_fixed_count,4,code_quality (1-10),2,rework_count,5
193,Company_Q,2000-03-18,Male,20-25,Software Engineer,4,Development,Sinhala,Muslim,University_P,1,3,5,5,4,43.69,1,1.57,5,16,1,5,10,Formal training,6,0.42,32,77,18,Smart Grid Monitor,52,120,5,2.67,3,4,4,tasks_completed,16,project_delay (days),1,changing_relative_effort,127,sprint_velocity,47,team_velocity,39,stakeholder_satisfaction(1-5),3,milestone_completion_rate,4
194,Company_L,1994-03-20,Male,26-30,Software Engineer,10,Development,Sinhala,Tamil,University_B,5,4,3,1,4,54.61,2,0.95,1,6,3,4,6,Research & innovation,4,0.83,29,35,21,Medi Care App,48,468,3,4.36,5,9,0,total_deployments,9,successful_deployments,2,deployment_time_efficiency,0.71,incident_count,2,system_downtime (hrs),15.3,automated_pipeline_stages,3,total_pipeline_stages,8
195,Company_B,2000-08-17,Male,20-25,DevOps Engineer,4,DevOps,Sinhala,Sinhala,University_A,3,1,2,1,4,98.47,5,3.86,5,32,1,1,5,Self-learning,1,0.52,22,42,6,Supply Chain Tracker,37,194,7,8.01,3,5,1,total_deployments,4,successful_deployments,1,deployment_time_efficiency,0.41,incident_count,3,system_downtime (hrs),39.9,automated_pipeline_stages,2,total_pipeline_stages,8
196,Company_S,1989-07-21,Male,31-35,DevOps Engineer,15,DevOps,English,Tamil,University_D,5,4,2,2,2,92.44,4,0.83,4,24,9,4,34,Self-learning,4,0.73,77,106,13,CRM Platform,8,59,14,5.36,3,0,1,total_test_cases_executed,23,total_pass_test_cases,1,total_bugs_detected,25,defect_reopened_count,21,total_documents_created,9,document_quality (1-5),3,test_execution_time (hrs),5
197,Company_H,1989-04-14,Female,31-35,DevOps Engineer,15,DevOps,Tamil,Tamil,University_B,3,2,1,4,1,98.16,5,5.56,3,19,3,4,15,Formal training,7,1,57,57,17,Learning Management System,10,469,11,7.87,4,3,5,total_deployments,7,successful_deployments,4,deployment_time_efficiency,0.42,incident_count,8,system_downtime (hrs),0.2,automated_pipeline_stages,2,total_pipeline_stages,5
198,Company_T,1995-07-21,Male,26-30,Software Engineer,9,Development,Sinhala,Sinhala,University_S,1,1,2,4,1,96.09,5,1.66,3,34,3,3,25,Formal training,6,0.78,56,72,3,Insurance Claims Platform,39,419,2,1.74,3,1,3,total_deployments,10,successful_deployments,7,deployment_time_efficiency,0.72,incident_count,4,system_downtime (hrs),33,automated_pipeline_stages,8,total_pipeline_stages,8
199,Company_T,1996-12-05,Female,26-30,QA Engineer,8,QA,Tamil,Sinhala,University_O,5,1,2,5,4,81.57,3,4.05,4,37,5,4,35,Formal training,10,0.68,21,31,3,Insurance Claims Platform,27,151,7,2.8,3,1,1,tasks_assigned,18,tasks_completed,16,tasks_on_time,8,bug_count,18,bugs_fixed_count,18,code_quality (1-10),4,rework_count,5
200,Company_J,2001-11-20,Male,20-25,Project Manager,3,Project Management,English,Tamil,University_H,3,2,5,1,4,67.51,2,2.35,5,33,7,4,28,On-the-job learning,9,0.87,48,55,8,Microfinance Management System,47,217,4,3.72,4,1,0,total_test_cases_executed,94,total_pass_test_cases,66,total_bugs_detected,24,defect_reopened_count,15,total_documents_created,13,document_quality (1-5),3,test_execution_time (hrs),4
201,Company_N,1991-02-19,Male,31-35,Business Analyst,13,Business Analysis,English,Sinhala,University_G,3,2,4,3,1,71.43,3,3.86,3,21,19,10,29,Online courses / certifications,10,0.45,43,96,16,HR Management System,31,118,6,7.44,3,1,4,tasks_completed,16,project_delay (days),21,changing_relative_effort,191,sprint_velocity,53,team_velocity,54,stakeholder_satisfaction(1-5),3,milestone_completion_rate,3
202,Company_H,1999-01-15,Male,20-25,DevOps Engineer,5,DevOps,Tamil,Tamil,University_N,1,2,2,5,1,83.21,3,15.17,4,19,10,2,26,Online courses / certifications,6,0.55,64,117,17,Learning Management System,26,78,12,3.2,1,10,2,total_deployments,19,successful_deployments,2,deployment_time_efficiency,0.94,incident_count,1,system_downtime (hrs),41.7,automated_pipeline_stages,2,total_pipeline_stages,7
203,Company_L,1991-12-01,Male,31-35,DevOps Engineer,13,DevOps,Sinhala,Tamil,University_I,2,4,1,3,5,77.92,3,2.82,2,12,14,6,19,Formal training,6,0.73,80,109,21,Medi Care App,27,273,5,5.47,0,8,1,tasks_assigned,14,tasks_completed,5,tasks_on_time,0,bug_count,9,bugs_fixed_count,9,code_quality (1-10),5,rework_count,1
204,Company_R,1981-02-03,Male,41-45,Business Analyst,23,Business Analysis,Sinhala,Sinhala,University_Q,4,3,5,3,2,70.65,3,20.11,1,4,10,6,37,Self-learning,10,0.49,46,93,19,E-Commerce Platform,33,393,14,5.93,0,10,5,total_deployments,17,successful_deployments,5,deployment_time_efficiency,0.7,incident_count,3,system_downtime (hrs),31.7,automated_pipeline_stages,8,total_pipeline_stages,9
205,Company_K,1992-12-31,Female,31-35,DevOps Engineer,12,DevOps,Tamil,Muslim,University_I,5,4,3,4,3,44.81,1,6.68,1,22,8,3,27,Formal training,9,0.84,32,38,14,Digital Wallet Platform,47,357,5,4.65,0,2,1,tasks_completed,1,project_delay (days),7,changing_relative_effort,129,sprint_velocity,39,team_velocity,51,stakeholder_satisfaction(1-5),3,milestone_completion_rate,3
206,Company_K,1994-04-12,Male,26-30,Business Analyst,10,Business Analysis,Sinhala,Tamil,University_A,3,1,2,4,1,66.1,2,9.9,5,19,2,2,24,Knowledge sharing,5,0.4,30,75,14,Digital Wallet Platform,29,479,13,8.58,1,1,4,tasks_assigned,28,tasks_completed,17,tasks_on_time,3,bug_count,16,bugs_fixed_count,16,code_quality (1-10),3,rework_count,0
207,Company_N,1991-01-12,Female,31-35,Software Engineer,13,Development,English,Tamil,University_Q,1,2,1,1,3,32.94,1,19.41,3,16,9,5,23,Self-learning,10,0.58,31,53,16,HR Management System,24,329,8,5.27,1,4,1,total_deployments,12,successful_deployments,7,deployment_time_efficiency,0.8,incident_count,4,system_downtime (hrs),1,automated_pipeline_stages,1,total_pipeline_stages,1
208,Company_B,2000-02-14,Male,20-25,Business Analyst,4,Business Analysis,Sinhala,Tamil,University_E,4,4,3,2,1,29.17,1,15.07,3,10,6,5,25,On-the-job learning,10,0.8,20,25,6,Supply Chain Tracker,45,258,14,1.3,0,7,3,total_deployments,14,successful_deployments,14,deployment_time_efficiency,0.89,incident_count,6,system_downtime (hrs),42.1,automated_pipeline_stages,2,total_pipeline_stages,4
209,Company_J,2002-05-12,Male,20-25,Project Manager,2,Project Management,English,Tamil,University_T,2,4,1,2,5,98.07,5,1.1,1,13,2,3,14,Online courses / certifications,3,0.79,33,42,8,Microfinance Management System,37,415,14,8.48,1,9,5,total_test_cases_executed,62,total_pass_test_cases,50,total_bugs_detected,30,defect_reopened_count,10,total_documents_created,8,document_quality (1-5),3,test_execution_time (hrs),8
210,Company_Q,1981-12-12,Female,41-45,Business Analyst,23,Business Analysis,English,Sinhala,University_T,2,4,4,1,2,64.53,2,23.94,1,15,0,4,24,Research & innovation,9,0.94,33,35,18,Smart Grid Monitor,42,183,4,1.8,2,2,4,total_test_cases_executed,25,total_pass_test_cases,0,total_bugs_detected,22,defect_reopened_count,16,total_documents_created,7,document_quality (1-5),4,test_execution_time (hrs),9
211,Company_O,1994-04-17,Female,26-30,Software Engineer,10,Development,English,Muslim,University_U,2,5,5,5,2,73.01,3,23.71,4,13,18,4,24,None observed,7,0.85,28,33,20,Banking Mobile App,43,280,5,4.33,5,10,3,total_deployments,3,successful_deployments,0,deployment_time_efficiency,0.63,incident_count,5,system_downtime (hrs),46.8,automated_pipeline_stages,7,total_pipeline_stages,8
212,Company_B,1984-04-13,Female,36-40,Software Engineer,20,Development,English,Muslim,University_L,2,5,5,2,5,52.52,2,18.58,1,22,6,3,40,Research & innovation,1,0.76,47,62,6,Supply Chain Tracker,14,307,9,9.37,3,2,0,tasks_completed,11,project_delay (days),22,changing_relative_effort,185,sprint_velocity,37,team_velocity,29,stakeholder_satisfaction(1-5),2,milestone_completion_rate,2
213,Company_M,1997-01-21,Male,26-30,Project Manager,7,Project Management,English,Sinhala,University_L,1,1,3,2,5,95.9,5,13.56,2,13,8,3,27,Formal training,6,0.65,13,20,15,Inventory Management System,6,290,6,2.47,3,6,0,tasks_completed,16,project_delay (days),1,changing_relative_effort,163,sprint_velocity,32,team_velocity,65,stakeholder_satisfaction(1-5),3,milestone_completion_rate,3
214,Company_C,1994-06-07,Female,26-30,Business Analyst,10,Business Analysis,Tamil,Sinhala,University_B,4,1,1,4,2,81.49,3,4.91,2,2,20,2,32,Knowledge sharing,7,0.88,96,109,23,Delivery Service App,25,63,6,7.13,5,1,3,tasks_assigned,16,tasks_completed,4,tasks_on_time,2,bug_count,4,bugs_fixed_count,0,code_quality (1-10),2,rework_count,5
215,Company_B,1981-07-26,Male,41-45,Software Engineer,23,Development,English,Tamil,University_E,3,2,5,3,3,32.96,1,16.56,4,8,2,5,5,Self-learning,9,0.91,90,99,6,Supply Chain Tracker,15,172,14,8.79,0,0,1,tasks_assigned,10,tasks_completed,7,tasks_on_time,6,bug_count,9,bugs_fixed_count,2,code_quality (1-10),2,rework_count,3
216,Company_Q,1989-05-04,Male,31-35,DevOps Engineer,15,DevOps,English,Sinhala,University_I,5,5,1,4,2,61.53,2,13.09,1,23,11,1,1,Online courses / certifications,1,0.6,28,47,18,Smart Grid Monitor,6,312,7,9.76,5,3,5,tasks_completed,5,project_delay (days),29,changing_relative_effort,176,sprint_velocity,43,team_velocity,60,stakeholder_satisfaction(1-5),4,milestone_completion_rate,1
217,Company_C,1990-09-08,Male,31-35,Software Engineer,14,Development,Sinhala,Tamil,University_T,3,4,1,2,4,41.45,1,5.47,2,3,0,2,38,Self-learning,3,0.84,32,38,23,Delivery Service App,9,443,10,1.15,5,10,3,tasks_assigned,10,tasks_completed,3,tasks_on_time,3,bug_count,1,bugs_fixed_count,0,code_quality (1-10),5,rework_count,5
218,Company_R,1999-11-07,Male,20-25,Business Analyst,5,Business Analysis,Sinhala,Tamil,University_F,2,3,3,5,5,54.85,2,20.73,4,3,13,5,30,Self-learning,6,0.8,48,60,19,E-Commerce Platform,33,404,8,8.82,5,9,5,tasks_assigned,20,tasks_completed,10,tasks_on_time,9,bug_count,19,bugs_fixed_count,11,code_quality (1-10),7,rework_count,5
219,Company_D,1989-01-23,Female,31-35,Software Engineer,15,Development,Sinhala,Sinhala,University_K,2,1,5,4,5,92.68,4,6.28,3,10,0,5,19,None observed,1,0.8,66,82,5,Hospital Information System,11,135,4,7.65,3,7,3,tasks_completed,1,project_delay (days),27,changing_relative_effort,165,sprint_velocity,47,team_velocity,35,stakeholder_satisfaction(1-5),2,milestone_completion_rate,3
220,Company_S,2002-09-20,Male,20-25,Project Manager,2,Project Management,English,Tamil,University_H,5,2,2,4,4,97.04,5,9.19,4,16,10,2,35,None observed,7,0.91,21,23,13,CRM Platform,8,187,12,4.75,3,1,3,tasks_completed,20,project_delay (days),30,changing_relative_effort,138,sprint_velocity,38,team_velocity,64,stakeholder_satisfaction(1-5),3,milestone_completion_rate,2
221,Company_L,1985-09-26,Male,36-40,Business Analyst,19,Business Analysis,Sinhala,Muslim,University_J,2,3,1,3,5,99.73,5,13.97,2,11,5,5,22,Self-learning,3,0.5,51,101,21,Medi Care App,14,360,9,1.91,3,7,2,total_deployments,8,successful_deployments,3,deployment_time_efficiency,0.69,incident_count,0,system_downtime (hrs),17.2,automated_pipeline_stages,5,total_pipeline_stages,7
222,Company_D,1986-02-02,Female,36-40,Software Engineer,18,Development,English,Sinhala,University_R,2,2,4,5,5,76.03,3,21.21,5,3,11,1,8,None observed,5,0.88,87,99,5,Hospital Information System,33,480,14,2,0,9,4,tasks_assigned,30,tasks_completed,28,tasks_on_time,3,bug_count,17,bugs_fixed_count,1,code_quality (1-10),6,rework_count,1
223,Company_N,1979-05-08,Male,41-45,Business Analyst,25,Business Analysis,English,Sinhala,University_L,2,5,3,1,2,41.39,1,20.37,5,24,5,3,40,On-the-job learning,3,0.9,82,91,16,HR Management System,9,186,7,7.44,3,5,5,total_test_cases_executed,95,total_pass_test_cases,31,total_bugs_detected,4,defect_reopened_count,4,total_documents_created,7,document_quality (1-5),4,test_execution_time (hrs),2
224,Company_E,1980-10-15,Female,41-45,DevOps Engineer,24,DevOps,Tamil,Tamil,University_E,2,3,2,1,4,90.82,4,10.48,1,23,2,3,34,Online courses / certifications,3,0.81,89,110,22,Marketing Management System,40,79,12,9.82,5,8,2,total_deployments,14,successful_deployments,6,deployment_time_efficiency,0.92,incident_count,8,system_downtime (hrs),41.9,automated_pipeline_stages,6,total_pipeline_stages,8
225,Company_P,1988-01-03,Male,36-40,Software Engineer,16,Development,Sinhala,Muslim,University_R,4,5,2,3,3,86.87,4,4.99,3,15,17,3,26,On-the-job learning,5,0.52,27,52,11,Telecom Billing System,39,209,10,4.07,5,2,0,tasks_assigned,5,tasks_completed,5,tasks_on_time,4,bug_count,8,bugs_fixed_count,3,code_quality (1-10),8,rework_count,2
226,Company_N,2003-05-21,Male,20-25,QA Engineer,1,QA,English,Tamil,University_U,5,1,5,1,1,79.6,3,13,4,24,10,2,37,Knowledge sharing,6,0.76,56,74,16,HR Management System,46,451,15,7.43,5,2,5,tasks_assigned,17,tasks_completed,17,tasks_on_time,7,bug_count,3,bugs_fixed_count,2,code_quality (1-10),6,rework_count,1
227,Company_H,2001-03-15,Female,20-25,Business Analyst,3,Business Analysis,Sinhala,Tamil,University_G,1,4,5,3,4,30.33,1,5.05,2,6,10,5,39,Knowledge sharing,10,0.9,38,42,17,Learning Management System,48,300,13,9.76,1,2,4,tasks_completed,5,project_delay (days),15,changing_relative_effort,167,sprint_velocity,18,team_velocity,65,stakeholder_satisfaction(1-5),3,milestone_completion_rate,3
228,Company_T,1995-01-14,Male,26-30,Software Engineer,9,Development,English,Tamil,University_U,3,1,3,5,5,45,1,18.48,1,24,4,5,3,Formal training,5,0.92,44,48,3,Insurance Claims Platform,13,451,11,4.8,2,4,1,total_test_cases_executed,33,total_pass_test_cases,31,total_bugs_detected,0,defect_reopened_count,0,total_documents_created,9,document_quality (1-5),2,test_execution_time (hrs),9
229,Company_M,1991-11-21,Female,31-35,Business Analyst,13,Business Analysis,Tamil,Tamil,University_E,5,2,3,4,5,47.17,1,16.61,2,21,1,1,39,On-the-job learning,4,0.65,30,46,15,Inventory Management System,25,326,2,9.62,3,4,5,tasks_completed,3,project_delay (days),27,changing_relative_effort,92,sprint_velocity,55,team_velocity,21,stakeholder_satisfaction(1-5),3,milestone_completion_rate,4
230,Company_J,2004-01-04,Male,20-25,DevOps Engineer,1,DevOps,English,Muslim,University_G,5,5,4,4,5,90.73,4,18.09,1,13,16,4,33,Self-learning,2,0.61,31,51,8,Microfinance Management System,24,255,11,1.4,0,5,3,total_test_cases_executed,33,total_pass_test_cases,26,total_bugs_detected,0,defect_reopened_count,0,total_documents_created,7,document_quality (1-5),2,test_execution_time (hrs),2
231,Company_E,2001-02-01,Female,20-25,Project Manager,3,Project Management,Tamil,Sinhala,University_Q,2,2,4,4,2,73.36,3,18.03,5,23,13,5,21,Knowledge sharing,10,0.77,71,92,22,Marketing Management System,7,153,5,7.77,4,3,3,total_deployments,17,successful_deployments,16,deployment_time_efficiency,0.57,incident_count,1,system_downtime (hrs),12.9,automated_pipeline_stages,6,total_pipeline_stages,9
232,Company_Q,2002-04-11,Male,20-25,Software Engineer,2,Development,Sinhala,Sinhala,University_M,4,3,2,2,5,82.18,3,4.76,4,14,16,5,9,On-the-job learning,1,1,106,106,18,Smart Grid Monitor,31,334,9,1.38,3,9,2,tasks_completed,6,project_delay (days),0,changing_relative_effort,65,sprint_velocity,40,team_velocity,37,stakeholder_satisfaction(1-5),3,milestone_completion_rate,4
233,Company_R,1979-04-06,Male,41-45,DevOps Engineer,25,DevOps,English,Sinhala,University_E,2,1,1,2,2,89.64,4,12.39,1,8,10,2,12,Knowledge sharing,1,0.52,33,63,19,E-Commerce Platform,25,157,9,9.63,2,0,5,total_deployments,5,successful_deployments,5,deployment_time_efficiency,0.95,incident_count,9,system_downtime (hrs),22.9,automated_pipeline_stages,1,total_pipeline_stages,3
234,Company_I,1982-02-03,Male,41-45,Software Engineer,22,Development,Tamil,Tamil,University_U,2,2,5,3,4,96.35,5,6.91,2,9,2,2,25,On-the-job learning,1,0.56,14,25,12,Fleet Management System,32,54,5,7.69,2,10,5,tasks_completed,12,project_delay (days),6,changing_relative_effort,73,sprint_velocity,49,team_velocity,60,stakeholder_satisfaction(1-5),2,milestone_completion_rate,4
235,Company_H,1985-02-28,Male,36-40,DevOps Engineer,19,DevOps,Tamil,Tamil,University_R,2,2,1,3,4,82.79,3,12.08,2,19,4,1,3,On-the-job learning,9,0.86,24,28,17,Learning Management System,20,341,15,3.05,4,4,1,total_test_cases_executed,96,total_pass_test_cases,2,total_bugs_detected,22,defect_reopened_count,21,total_documents_created,9,document_quality (1-5),4,test_execution_time (hrs),7
236,Company_S,1999-08-13,Female,20-25,Project Manager,5,Project Management,Sinhala,Muslim,University_N,3,5,3,3,4,58.38,2,23.06,5,13,11,2,24,Formal training,5,0.5,55,111,13,CRM Platform,16,221,3,8.92,0,3,5,tasks_assigned,18,tasks_completed,3,tasks_on_time,1,bug_count,6,bugs_fixed_count,1,code_quality (1-10),4,rework_count,0
237,Company_C,1999-07-01,Female,20-25,QA Engineer,5,QA,Tamil,Sinhala,University_H,5,1,1,1,2,20.32,1,4.9,4,22,20,4,18,On-the-job learning,2,0.52,31,60,23,Delivery Service App,41,113,3,9.77,0,6,2,total_deployments,3,successful_deployments,1,deployment_time_efficiency,0.34,incident_count,7,system_downtime (hrs),2.6,automated_pipeline_stages,7,total_pipeline_stages,7
238,Company_N,1980-07-16,Female,41-45,Business Analyst,24,Business Analysis,Sinhala,Muslim,University_G,5,4,2,1,4,40.95,1,1.01,3,23,10,1,20,None observed,4,0.4,45,113,16,HR Management System,49,84,11,8.1,1,9,1,tasks_assigned,25,tasks_completed,17,tasks_on_time,8,bug_count,11,bugs_fixed_count,6,code_quality (1-10),5,rework_count,4
239,Company_B,1981-11-17,Male,41-45,Software Engineer,23,Development,Sinhala,Sinhala,University_R,1,5,1,2,5,95.35,5,18.79,1,10,11,1,34,Online courses / certifications,9,0.4,40,100,6,Supply Chain Tracker,39,489,2,4.8,1,3,5,total_deployments,7,successful_deployments,1,deployment_time_efficiency,0.54,incident_count,10,system_downtime (hrs),22.8,automated_pipeline_stages,8,total_pipeline_stages,10
240,Company_I,1996-07-16,Female,26-30,QA Engineer,8,QA,English,Tamil,University_P,5,2,5,3,4,90.43,4,20.67,3,7,18,1,40,Self-learning,7,0.73,52,71,12,Fleet Management System,4,235,2,1.66,0,8,0,tasks_completed,5,project_delay (days),9,changing_relative_effort,162,sprint_velocity,22,team_velocity,60,stakeholder_satisfaction(1-5),3,milestone_completion_rate,4
241,Company_M,1990-09-08,Male,31-35,DevOps Engineer,14,DevOps,English,Muslim,University_I,2,3,3,4,1,77.85,3,10.33,2,22,3,3,5,Knowledge sharing,6,0.59,53,90,15,Inventory Management System,27,388,4,9.47,4,6,5,tasks_assigned,7,tasks_completed,1,tasks_on_time,0,bug_count,4,bugs_fixed_count,1,code_quality (1-10),3,rework_count,3
242,Company_M,1985-05-27,Female,36-40,DevOps Engineer,19,DevOps,Sinhala,Tamil,University_G,1,3,4,1,1,83.64,3,21.63,5,8,14,4,37,Knowledge sharing,10,0.43,34,79,15,Inventory Management System,8,135,10,4.49,5,8,2,total_deployments,16,successful_deployments,16,deployment_time_efficiency,0.62,incident_count,5,system_downtime (hrs),34.2,automated_pipeline_stages,8,total_pipeline_stages,10
243,Company_H,1984-11-19,Male,36-40,Business Analyst,20,Business Analysis,Tamil,Tamil,University_P,3,3,5,4,2,33.82,1,2.16,4,19,3,4,8,On-the-job learning,6,0.74,63,85,17,Learning Management System,22,277,10,4.16,4,0,3,tasks_completed,17,project_delay (days),19,changing_relative_effort,136,sprint_velocity,37,team_velocity,48,stakeholder_satisfaction(1-5),3,milestone_completion_rate,3
244,Company_T,1990-01-17,Female,31-35,Software Engineer,14,Development,Tamil,Sinhala,University_O,2,3,5,1,3,26.9,1,4.98,4,12,9,1,10,Self-learning,3,0.9,63,70,3,Insurance Claims Platform,20,204,13,8.34,5,4,1,total_test_cases_executed,100,total_pass_test_cases,77,total_bugs_detected,4,defect_reopened_count,4,total_documents_created,15,document_quality (1-5),2,test_execution_time (hrs),8
245,Company_N,1994-07-05,Male,26-30,Business Analyst,10,Business Analysis,Sinhala,Sinhala,University_U,1,3,1,3,4,45.64,1,20.45,5,1,2,1,4,Formal training,1,0.85,88,103,16,HR Management System,17,274,9,8.68,0,5,1,tasks_completed,19,project_delay (days),27,changing_relative_effort,82,sprint_velocity,29,team_velocity,80,stakeholder_satisfaction(1-5),4,milestone_completion_rate,3
246,Company_H,1984-07-20,Male,36-40,Software Engineer,20,Development,Sinhala,Sinhala,University_Q,2,4,3,3,1,29.13,1,7.55,2,8,13,2,15,Knowledge sharing,3,0.56,50,89,17,Learning Management System,16,293,3,3.96,3,10,2,total_deployments,3,successful_deployments,1,deployment_time_efficiency,0.37,incident_count,8,system_downtime (hrs),8.5,automated_pipeline_stages,8,total_pipeline_stages,8
247,Company_M,1999-09-17,Male,20-25,Project Manager,5,Project Management,English,Tamil,University_T,3,5,2,5,3,60.32,2,8.83,1,20,5,5,28,Online courses / certifications,8,0.74,67,90,15,Inventory Management System,23,271,15,7.39,3,2,4,tasks_assigned,23,tasks_completed,10,tasks_on_time,9,bug_count,6,bugs_fixed_count,4,code_quality (1-10),8,rework_count,3
248,Company_F,1989-06-25,Male,31-35,QA Engineer,15,QA,English,Tamil,University_A,5,3,3,4,3,87.29,4,16.36,4,3,13,3,35,None observed,4,0.48,21,44,7,Payroll Automation,43,425,8,5.12,5,2,5,tasks_completed,19,project_delay (days),3,changing_relative_effort,150,sprint_velocity,54,team_velocity,80,stakeholder_satisfaction(1-5),1,milestone_completion_rate,5
249,Company_C,1984-08-18,Female,36-40,QA Engineer,20,QA,Tamil,Tamil,University_P,1,2,5,3,2,74.51,3,21.15,3,23,1,4,20,Formal training,2,0.78,29,37,23,Delivery Service App,33,63,3,6.75,5,7,3,tasks_assigned,15,tasks_completed,12,tasks_on_time,6,bug_count,6,bugs_fixed_count,3,code_quality (1-10),1,rework_count,2
250,Company_A,1996-05-29,Female,26-30,Business Analyst,8,Business Analysis,Sinhala,Tamil,University_T,2,5,5,5,4,98.89,5,6.43,3,17,10,2,22,Self-learning,1,0.7,51,73,9,Customer Portal,14,89,12,7.87,5,4,1,total_test_cases_executed,66,total_pass_test_cases,45,total_bugs_detected,5,defect_reopened_count,1,total_documents_created,12,document_quality (1-5),1,test_execution_time (hrs),7
251,Company_O,2002-11-22,Male,20-25,DevOps Engineer,2,DevOps,English,Sinhala,University_G,3,2,3,2,3,95.48,5,5.52,1,12,13,3,17,None observed,5,0.92,48,52,20,Banking Mobile App,4,222,15,2.73,5,1,1,tasks_completed,4,project_delay (days),25,changing_relative_effort,92,sprint_velocity,56,team_velocity,30,stakeholder_satisfaction(1-5),1,milestone_completion_rate,3
252,Company_J,1992-11-27,Female,31-35,Software Engineer,12,Development,Tamil,Muslim,University_H,1,4,2,4,5,85.62,4,3.24,1,21,10,1,24,Formal training,2,0.79,88,112,8,Microfinance Management System,27,72,3,8.97,3,4,4,total_deployments,16,successful_deployments,3,deployment_time_efficiency,0.8,incident_count,9,system_downtime (hrs),8.2,automated_pipeline_stages,2,total_pipeline_stages,7
253,Company_C,1997-06-06,Male,26-30,Software Engineer,7,Development,Tamil,Muslim,University_L,3,5,1,4,4,45.76,1,17.48,4,4,3,3,12,Research & innovation,9,0.67,18,27,23,Delivery Service App,52,174,11,1.71,1,5,3,total_test_cases_executed,47,total_pass_test_cases,12,total_bugs_detected,4,defect_reopened_count,3,total_documents_created,4,document_quality (1-5),4,test_execution_time (hrs),3
254,Company_K,1996-04-18,Female,26-30,DevOps Engineer,8,DevOps,Tamil,Sinhala,University_S,4,5,5,4,1,77.34,3,19.36,3,12,9,2,35,Formal training,4,0.99,75,76,14,Digital Wallet Platform,42,496,8,5.69,1,7,5,total_test_cases_executed,10,total_pass_test_cases,1,total_bugs_detected,27,defect_reopened_count,15,total_documents_created,2,document_quality (1-5),5,test_execution_time (hrs),1
255,Company_R,1987-08-09,Female,36-40,Software Engineer,17,Development,Sinhala,Muslim,University_A,3,3,5,5,1,33.86,1,21.98,1,11,8,4,0,On-the-job learning,5,0.47,33,70,19,E-Commerce Platform,34,90,7,4.58,1,7,3,total_test_cases_executed,64,total_pass_test_cases,64,total_bugs_detected,19,defect_reopened_count,13,total_documents_created,13,document_quality (1-5),2,test_execution_time (hrs),10
256,Company_Q,1994-10-07,Female,26-30,QA Engineer,10,QA,Sinhala,Muslim,University_H,5,3,3,5,5,77.12,3,20.51,4,25,3,4,22,None observed,6,0.83,79,95,18,Smart Grid Monitor,36,423,13,4.37,3,6,3,tasks_completed,12,project_delay (days),12,changing_relative_effort,175,sprint_velocity,29,team_velocity,61,stakeholder_satisfaction(1-5),5,milestone_completion_rate,1
